player_id,season,week,passing_yards
00-0034869,2021,17,132.0
00-0029701,2021,17,120.0
00-0037013,2021,17,234.0
00-0036898,2021,17,163.0
00-0036442,2021,17,446.0
00-0037012,2021,17,249.0
00-0035228,2021,17,263.0
00-0029263,2021,17,236.0
00-0035993,2021,17,197.0
00-0036389,2021,17,214.0
00-0032245,2021,17,189.0
00-0022924,2021,17,123.0
00-0034855,2021,17,185.0
00-0031800,2021,17,247.0
00-0033106,2021,18,238.0
00-0033077,2021,18,295.0
00-0035704,2021,18,162.0
00-0036212,2021,18,109.0
00-0023459,2021,18,138.0
00-0028986,2021,18,176.0
00-0035993,2021,18,141.0
00-0032156,2021,18,71.0
00-0036355,2021,18,383.0
00-0032950,2021,18,185.0
00-0034869,2021,18,219.0
00-0036971,2021,18,223.0
00-0026143,2021,18,216.0
00-0036898,2021,18,301.0
00-0036264,2021,18,134.0
00-0031345,2021,18,316.0
00-0035289,2021,18,186.0
00-0019596,2021,19,271.0
00-0031345,2021,19,172.0
00-0036972,2021,19,232.0
00-0033077,2021,19,254.0
00-0036442,2021,19,244.0
00-0035228,2021,19,137.0
00-0026498,2021,20,366.0
00-0034857,2021,20,329.0
00-0031345,2021,20,131.0
00-0036442,2021,20,348.0
00-0033873,2021,20,378.0
00-0026498,2021,21,337.0
00-0036442,2021,21,250.0
00-0033873,2021,21,275.0
00-0031345,2021,21,232.0
00-0035710,2019,1,17.0
00-0034438,2020,15,0.0
00-0026143,2019,1,304.0
00-0036389,2022,22,304.0
00-0033936,2020,10,0.0
00-0033936,2020,15,100.0
00-0029567,2019,1,75.0
00-0029857,2019,14,18.0
00-0036879,2022,17,60.0
00-0030520,2021,17,24.0
00-0031237,2019,17,14.0
00-0031288,2019,11,0.0
00-0031345,2019,21,219.0
00-0031407,2019,13,3.0
00-0031589,2019,8,0.0
00-0031589,2019,16,49.0
00-0035993,2023,17,19.0
00-0032156,2019,2,3.0
00-0037327,2022,10,17.0
00-0037327,2022,12,6.0
00-0036389,2020,10,0.0
00-0028986,2019,4,37.0
00-0029623,2019,15,1.0
00-0035704,2020,1,216.0
00-0031345,2019,20,77.0
00-0035146,2019,17,0.0
00-0033119,2019,9,59.0
00-0033537,2019,1,268.0
00-0038128,2022,8,55.0
00-0026197,2022,20,23.0
00-0038128,2022,10,0.0
00-0038128,2022,13,16.0
00-0038128,2022,15,20.0
00-0033869,2019,4,9.0
00-0033873,2019,21,286.0
00-0035251,2019,17,4.0
00-0036212,2022,4,110.0
00-0031589,2019,17,0.0
00-0035289,2022,21,0.0
00-0033319,2019,8,0.0
00-0031237,2022,3,0.0
00-0026300,2024,15,0.0
00-0035232,2019,8,33.0
00-0035264,2019,5,0.0
00-0026300,2024,17,16.0
00-0031237,2020,5,313.0
00-0033936,2020,5,94.0
00-0034577,2020,7,194.0
00-0035710,2022,4,71.0
00-0029567,2020,8,272.0
00-0035577,2019,12,118.0
00-0035710,2019,8,322.0
00-0037834,2022,7,66.0
00-0032434,2022,9,22.0
00-0031237,2019,4,193.0
00-0029263,2022,1,340.0
00-0029263,2019,13,240.0
00-0035710,2022,3,196.0
00-0034577,2021,14,53.0
00-0029604,2019,3,174.0
00-0037013,2023,15,26.0
00-0023682,2019,10,169.0
00-0029701,2019,1,0.0
00-0034577,2023,15,0.0
00-0026625,2019,11,0.0
00-0031395,2019,5,0.0
00-0031395,2019,14,0.0
00-0029665,2019,12,39.0
00-0033958,2021,5,0.0
00-0034899,2021,6,0.0
00-0034955,2022,14,16.0
00-0037327,2022,5,166.0
00-0026544,2019,11,9.0
00-0029604,2019,1,98.0
00-0034177,2019,13,0.0
00-0032950,2019,1,313.0
00-0031345,2019,1,166.0
00-0033077,2019,1,405.0
00-0032268,2019,1,248.0
00-0026498,2019,1,385.0
00-0031503,2019,1,194.0
00-0033106,2019,1,186.0
