player_id,season,week,position,fantasy_ppr
00-0034831,2019,9,DE,0.0
00-0034816,2019,9,RB,16.200000000000003
00-0034827,2019,9,WR,17.1
00-0034828,2019,9,LB,0.0
00-0033090,2022,5,TE,9.4
00-0038104,2022,5,WR,2.7
00-0034846,2019,9,OLB,0.0
00-0035406,2022,5,WR,0.0
00-0031549,2022,5,WR,0.0
00-0034857,2019,9,QB,17.6
00-0035657,2022,5,RB,2.2
00-0034887,2019,9,LB,0.0
00-0034902,2019,9,LB,0.0
00-0034842,2019,9,DT,0.0
00-0034858,2019,9,S,0.0
00-0040124,2025,15,WR,4.5
00-0040024,2025,15,WR,4.9
00-0040013,2025,15,LB,0.0
00-0040122,2025,15,RB,8.2
00-0039912,2025,15,TE,4.6
00-0040164,2025,15,WR,6.0
00-0034843,2019,9,CB,0.0
00-0034860,2019,9,WR,9.1
00-0040200,2025,15,K,0.0
00-0035240,2022,5,LB,0.0
00-0031404,2022,5,DB,0.0
00-0038039,2022,5,CB,0.0
00-0036231,2022,5,SAF,0.0
00-0035006,2019,9,WR,7.4
00-0032580,2022,5,CB,0.0
00-0040329,2025,15,DE,0.0
00-0034968,2019,9,SAF,0.0
00-0040228,2025,15,LB,0.0
00-0040231,2025,15,LB,0.0
00-0040248,2025,15,DT,0.0
00-0040506,2025,15,WR,0.0
00-0040492,2025,15,LB,0.0
00-0040242,2025,15,RB,15.600000000000001
00-0040318,2025,15,LB,0.0
00-0034967,2019,9,DE,0.0
00-0034984,2019,9,DE,0.0
00-0034969,2019,9,DE,0.0
00-0034989,2019,9,OT,0.0
00-0034982,2019,9,LB,0.0
00-0034941,2019,9,P,0.0
00-0034928,2019,9,WR,2.2
00-0032415,2022,5,OLB,0.0
00-0036087,2022,5,CB,0.0
00-0036159,2022,5,LB,0.0
00-0035184,2019,9,RB,0.0
00-0040644,2025,15,RB,0.0
00-0040708,2025,15,LB,0.0
00-0040662,2025,15,DT,0.0
00-0040729,2025,15,WR,3.7
00-0040641,2025,15,CB,0.0
00-0040725,2025,15,DE,0.0
00-0040719,2025,15,RB,9.3
00-0040686,2025,15,OT,0.0
00-0026158,2025,16,QB,0.16
00-0025565,2025,16,K,0.0
00-0023459,2025,16,QB,15.540000000000001
00-0022942,2025,16,QB,17.08
00-0035140,2019,9,WR,0.7000000000000001
00-0035147,2019,9,CB,0.0
00-0035139,2019,9,DB,0.0
00-0035143,2019,9,LB,0.0
00-0036193,2022,5,LB,0.0
00-0033106,2022,5,QB,5.86
00-0032464,2022,5,WR,9.5
00-0034440,2022,5,RB,1.4000000000000001
00-0035219,2022,5,DT,0.0
00-0036011,2022,5,DB,0.0
00-0035370,2022,5,S,0.0
00-0035239,2019,9,CB,0.0
00-0035192,2019,9,K,0.0
00-0028872,2025,16,P,0.0
00-0029692,2025,16,P,0.0
00-0026498,2025,16,QB,30.880000000000003
00-0030070,2025,16,DT,0.0
00-0029607,2025,16,OLB,0.0
00-0027962,2025,16,LB,0.0
00-0026300,2025,16,QB,-0.28
00-0029255,2025,16,MLB,0.0
00-0029562,2025,16,OLB,0.0
00-0035230,2019,9,DT,0.0
00-0035232,2019,9,QB,7.16
00-0035237,2022,5,OT,0.0
00-0034775,2022,5,WR,2.1
00-0035831,2022,5,RB,5.9
00-0031484,2022,5,TE,3.5
00-0035806,2022,5,RB,0.6000000000000001
00-0034413,2022,5,LB,0.0
00-0035289,2019,9,QB,7.76
00-0030506,2025,16,TE,1.6
00-0030757,2025,16,DT,0.0
00-0030615,2025,16,LS,0.0
00-0030279,2025,16,WR,9.4
00-0031177,2025,16,DE,0.0
00-0030140,2025,16,P,0.0
00-0031136,2025,16,K,0.0
00-0030092,2025,16,P,0.0
00-0035298,2019,9,WR,0.0
00-0035269,2019,9,K,0.0
00-0035250,2019,9,RB,23.0
00-0035297,2019,9,WR,1.6
00-0035286,2019,9,LB,0.0
00-0032667,2022,5,DE,0.0
00-0033064,2022,5,DE,0.0
00-0034203,2022,5,CB,0.0
00-0034825,2022,5,LB,0.0
00-0035378,2022,5,SAF,0.0
00-0035526,2019,9,C,0.0
00-0032521,2024,15,CB,0.0
00-0032052,2025,16,DE,0.0
00-0032103,2025,16,MLB,0.0
00-0031933,2025,16,DE,0.0
00-0031411,2025,16,LB,0.0
00-0031360,2025,16,MLB,0.0
00-0031588,2025,16,WR,22.8
00-0031935,2025,16,DE,0.0
00-0032104,2025,16,RB,1.4
00-0031554,2025,16,MLB,0.0
00-0031408,2025,16,WR,14.1
00-0035374,2019,9,WR,0.0
00-0035525,2019,9,LB,0.0
00-0035532,2019,9,SAF,0.0
00-0035500,2019,9,WR,0.0
00-0037246,2022,5,SAF,0.0
00-0037237,2022,5,CB,0.0
00-0031361,2022,5,OLB,0.0
00-0032437,2022,5,OLB,0.0
00-0028339,2022,5,DL,0.0
00-0032762,2025,16,DE,0.0
00-0035551,2019,9,RB,0.0
00-0032759,2025,16,DT,0.0
00-0032392,2025,16,TE,5.4
00-0032268,2025,16,QB,3.7
00-0032398,2025,16,WR,0.0
00-0032580,2025,16,DB,0.0
00-0032933,2025,16,CB,0.0
00-0032464,2025,16,WR,16.2
00-0035637,2019,9,CB,0.0
00-0035534,2019,9,CB,0.0
00-0035625,2019,9,SAF,0.0
00-0035588,2019,9,C,0.0
00-0035642,2019,9,DE,0.0
00-0034831,2022,5,DE,0.0
00-0033131,2022,5,DT,0.0
00-0036568,2022,5,DT,0.0
00-0034807,2022,5,DE,0.0
00-0035639,2019,9,WR,13.0
00-0033073,2025,16,DE,0.0
00-0033046,2025,16,LB,0.0
00-0033077,2025,16,QB,19.159999999999997
00-0033120,2025,16,NT,0.0
00-0032965,2025,16,OT,0.0
00-0033090,2025,16,TE,15.5
00-0033093,2025,16,DE,0.0
00-0033010,2025,16,DT,0.0
00-0033106,2025,16,QB,26.46
00-0033055,2025,16,CB,0.0
00-0033269,2025,16,P,0.0
00-0033064,2025,16,DE,0.0
00-0032943,2025,16,P,0.0
00-0035656,2019,9,DT,0.0
00-0035640,2019,9,WR,27.0
00-0035649,2019,9,G,0.0
00-0035643,2019,9,DT,0.0
00-0036844,2022,5,LB,0.0
00-0033557,2022,5,LB,0.0
00-0037457,2022,5,LB,0.0
00-0033038,2022,5,S,0.0
00-0034278,2022,5,CB,0.0
